fullname,age,department,salary,marital_status,gender
Ryan Smith,56,Operations,85273.79,single,male
Christine Woods,23,Human Resource,82845.75,single,male
Gregory Robinson,56,Operations,105286.32,married,female
Matthew Crane,62,Human Resource,46415.19,single,female
Sandra Nash,20,Operations,85693.21,single,female
Christy Bush,55,Information Technology,59528.31,married,male
David Huff,52,Marketing,81312.73,married,male
James Wright,41,Human Resource,105549.51,married,male
Rebecca Burns,28,Information Technology,74068.54,married,female
Scott Garcia,59,Operations,117736.95,single,female
Amanda Thompson,29,Human Resource,71029.47,married,female
Jessica Little,34,Marketing,83900.36,single,female
Patrick Williams,22,Finance,112014.7,married,female
Richard Hopkins,41,Marketing,76615.36,single,male
Laurie Myers,33,Marketing,105709.8,single,male
Brian Key,41,Operations,33709.18,single,female
Joseph Perez,61,Human Resource,105003.24,single,male
Michael Avila,36,Information Technology,75368.21,married,male
Ashley Brown,28,Marketing,107068.36,single,male
Matthew Gibbs,46,Finance,86436.84,single,female
Nathan Burns,41,Finance,102651.48,single,male
Alexandria Harris,59,Finance,44774.6,single,male
Mark Roberson,57,Human Resource,117877.06,married,male
Kathy Morales,38,Human Resource,95326.94,married,male
Janet Irwin,45,Human Resource,41099.42,married,female
Wendy Cox,32,Finance,83013.29,single,female
Robert Powell,59,Information Technology,66718.78,single,female
Christopher Long,61,Operations,92029.16,single,female
Edward Ramirez,28,Information Technology,73184.96,married,male
Dr. Dustin Cline,60,Information Technology,79628.37,married,female
Melanie Thompson,55,Information Technology,69600.55,single,female
Carla Washington,50,Operations,44694.86,single,female
Gerald Henderson,35,Information Technology,108233.15,married,female
Travis Jackson,28,Finance,108263.25,single,male
Julie Miranda,57,Finance,60796.93,married,female
Tracy Williams,54,Finance,34585.56,married,female
April Sanders,24,Marketing,73903.15,single,female
Jeremy Hall,36,Human Resource,84094.99,single,female
Christopher Bailey,43,Operations,68269.25,single,female
Miss Sharon Kramer,60,Operations,86178.56,single,male
Samantha Hardy,33,Operations,106695.06,married,male
Richard Moreno,44,Marketing,69961.27,single,male
Melissa Ballard,25,Operations,71369.54,single,male
Laura Patrick,30,Information Technology,47739.56,single,female
Daniel Barnett,63,Operations,91274.54,single,male
Andrea Ross,50,Information Technology,89523.63,married,male
Jennifer Mcdaniel,24,Marketing,62644.52,married,male
Caitlyn Vaughan,49,Marketing,44579.44,married,male
Elizabeth Brown,56,Information Technology,101875.38,single,male
Richard Perry,43,Finance,99329.89,married,female
Nathaniel Park,20,Human Resource,91854.61,married,female
Jerry Leonard,44,Operations,64168.56,single,male
Jill Miller,34,Finance,105720.72,single,male
Amy Johnson,46,Marketing,46907.28,married,female
Cheryl Grant,29,Information Technology,96870.23,married,female
Barry Thomas,60,Finance,55065.82,single,female
Sharon David,62,Operations,114750.62,married,female
Leslie Cherry,51,Operations,92023.94,single,female
Mr. Craig Cantrell II,23,Finance,92345.48,single,female
Eric Lewis,42,Human Resource,83487.61,married,male
Andrew Garcia,64,Finance,94564.27,single,male
Michael Mendez,54,Finance,62667.13,single,female
Mrs. Tiffany Rangel,28,Operations,81981.72,single,female
Jean Burns,32,Information Technology,69435.56,single,female
Keith Bradshaw,48,Information Technology,85120.42,married,male
William Richard,26,Marketing,41809.44,single,male
Peter Wilson,47,Finance,106064.51,single,female
Katie Fox,24,Marketing,117923.56,single,male
Mr. Jerry Christensen,50,Marketing,52988.65,married,female
Mary Reynolds,62,Marketing,114091.94,married,female
Michelle Taylor,27,Marketing,57111.93,married,female
Charles Black,51,Human Resource,119125.49,single,male
Amanda Johnson,25,Human Resource,88188.48,married,female
Ralph Hudson,52,Finance,89617.39,single,female
Jordan Diaz,30,Operations,72582.63,married,female
Christopher Miller,50,Information Technology,47165.81,single,female
Clifford Hayden,61,Operations,40581.39,single,female
Donna Henry,43,Marketing,55803.46,married,male
Allen Brown,20,Marketing,46930.48,single,female
Rebecca Haynes,34,Finance,83083.35,single,female
Deborah Miller,38,Human Resource,109052.2,married,female
Mary Harris,25,Marketing,61862,married,male
William Holland,28,Operations,75243.48,single,female
Lori Bond,31,Human Resource,88613.35,married,female
Julia Merritt,64,Finance,106916.66,married,male
Nathan Smith,63,Marketing,58267.86,married,female
Christopher Schroeder,39,Information Technology,74287.04,single,male
Katherine Franklin,55,Finance,97298.21,single,female
Kevin Gardner,30,Human Resource,41404.43,single,male
Brendan Barajas,35,Human Resource,78229.45,single,female
Jeremy Graham,63,Finance,115336.65,single,male
Diana Roach,54,Finance,55151.07,married,male
Paula Cox PhD,45,Marketing,67341.18,single,male
Jose Walker,32,Operations,88455.24,married,male
Erika Adkins,28,Operations,116880.47,single,female
Cynthia Cross,30,Information Technology,66161.27,single,female
Keith Hanna,40,Information Technology,76350.25,single,male
Annette Cantrell,29,Finance,64984.49,married,female
Sonia Marks,27,Finance,61728.34,married,male
Glen Reyes,41,Information Technology,119605.14,single,female
Erica Wright,47,Information Technology,73784.58,single,female
William Douglas,49,Operations,91605.08,single,male
William Wilson,23,Marketing,69359.71,single,female
Dennis Kline,21,Marketing,112046.28,married,male
Christopher Johnson,44,Finance,48131.87,married,female
Alyssa Spencer,51,Marketing,110515.29,single,female
Carl Lee,20,Marketing,99915.66,married,female
Brenda Hernandez,45,Finance,97015.08,married,female
Mr. Reginald Glenn,51,Information Technology,117956.29,single,female
Glenn Porter,40,Operations,68396.05,single,female
James Green,18,Human Resource,111016.17,single,male
David Norton,61,Operations,64744.16,single,female
Melanie Frazier,56,Finance,88731.9,married,female
Karen Thomas,36,Information Technology,82644.83,single,female
Jessica Bender,59,Information Technology,60980.74,married,male
William Allen,54,Finance,104211.37,married,male
Sara Chavez,32,Human Resource,110671.73,single,male
Johnny Ford,65,Finance,75477.96,married,female
Antonio Rodriguez,23,Human Resource,72255.43,single,male
Jean Drake,60,Finance,37493.14,single,female
Scott Salazar,24,Marketing,58784.56,single,female
Benjamin Hall,18,Finance,86143.77,married,female
Linda Randall,32,Finance,111221.83,married,female
Tara Mann,48,Finance,119697.61,married,male
Stephen West,62,Marketing,99467.04,married,female
David Frederick,58,Information Technology,93451.08,married,female
Joshua James,58,Human Resource,52703.91,married,male
Stephen Collins,52,Operations,98894.08,married,female
Daniel Williams,56,Finance,85431.87,married,male
Amy George,28,Human Resource,106879.05,married,female
Sarah Chung,45,Finance,44040.62,single,female
Angela Scott,23,Human Resource,96779.58,single,male
John Mack,27,Operations,52605.91,married,female
Patricia Horton,26,Human Resource,66326.22,married,male
Lisa Chase,30,Operations,68098.5,married,female
Danielle Tapia,57,Information Technology,95427.1,married,male
Larry Rogers,32,Human Resource,30942.17,married,male
Nicole Bradley,45,Human Resource,102551.19,single,male
Matthew Reilly,57,Marketing,59995.61,married,female
Steven Thompson,33,Finance,55769.43,single,female
Michael Jones,32,Marketing,50299.04,married,male
William Edwards,43,Marketing,84498.47,married,female
Randy Grant,22,Information Technology,78804.76,married,female
Bryan Cross,63,Marketing,88835.79,married,female
Jamie Gregory,56,Information Technology,64868.3,married,male
Scott Smith,63,Human Resource,117173.02,single,female
Carrie Small,53,Finance,111035.91,single,female
Joseph Turner,33,Marketing,30666.72,single,female
Deborah Anderson,60,Operations,107939.84,single,female
Ashley Johnson,20,Finance,112626.78,single,male
Jason Solomon,40,Information Technology,59700.5,married,female
Anna Gray,29,Marketing,108460.87,single,female
Deborah Gibson,43,Marketing,99129.35,married,female
Janice Bush,41,Information Technology,114398.5,married,female
Monica Walker,49,Marketing,40709.22,single,male
Melanie Smith,56,Information Technology,51103.33,married,male
Sydney Burch,26,Marketing,98801.14,married,female
Samuel Spencer,22,Operations,48693.6,married,male
Jason Yoder,55,Information Technology,58383.97,married,female
Alexis Farmer,41,Finance,45869.04,single,female
Michelle Figueroa,64,Marketing,82886.51,married,female
John Smith,49,Information Technology,61652.07,single,male
Jesus Smith,62,Human Resource,80652.43,married,female
Randy Hodges,65,Marketing,102601.85,married,female
Shawn May,54,Information Technology,30765.68,single,male
Roberto Bullock,25,Operations,116557.99,married,male
Kimberly Ross,53,Information Technology,49190.05,single,female
Henry Mcintyre,24,Information Technology,41784.27,married,female
Paul Lewis,59,Human Resource,86423.85,married,male
Christy Mcdonald,29,Human Resource,73783.33,single,male
Natasha Ferguson,50,Operations,102905.01,single,male
Jonathan Moore,19,Marketing,114152.76,married,female
Jasmine Ryan,55,Marketing,66263.64,married,female
William Saunders,65,Information Technology,97166.62,single,male
Samantha Farley,49,Finance,45780.58,single,male
Sierra George,55,Operations,51732.18,single,female
Emily Martinez,49,Operations,95458.53,married,female
Emily Smith,58,Information Technology,60532.53,single,male
Billy Diaz,59,Human Resource,74691.83,married,male
Kaitlin Wilkerson,38,Operations,89216.5,married,female
Nicole Rodriguez,43,Information Technology,86764.24,single,female
Lisa Sanders,22,Operations,65290.82,married,male
Robert Davis,59,Information Technology,106468.19,single,male
Mike Smith,63,Operations,37869.55,single,male
Elizabeth Olson,45,Information Technology,65166.57,married,male
Thomas Levine,33,Marketing,66544.06,married,male
Mark Brooks,25,Operations,44016.57,single,female
Mark Lewis,54,Human Resource,58224.8,single,female
Melissa Hayes,62,Information Technology,33045.7,single,male
Joseph Robinson,39,Operations,58236.53,married,female
Angelica Bentley,39,Finance,113114.41,married,male
Michael Sweeney,34,Information Technology,94101.39,married,female
Heather Gray,50,Human Resource,108358.37,married,female
Tanner Parker,25,Marketing,89612.61,single,male
Sarah Stephens,53,Marketing,59233.69,single,female
Kayla Bradley,64,Human Resource,53323.23,single,female
John Ferguson,59,Finance,51433.84,married,male
John Foster,31,Marketing,56994.69,single,male
Carrie Thompson,51,Operations,68412.25,single,male
Cody Payne,34,Human Resource,94324.16,married,male
Eric Washington,29,Operations,102843.65,married,female
Mr. Edward Roberts,21,Human Resource,63400.13,married,male
Heather Bailey,61,Finance,79633.7,single,male
Tammy Quinn,50,Marketing,73773.77,married,female
Heather Valencia,40,Finance,33037.1,married,male
Thomas Reynolds,43,Human Resource,96812.73,married,female
Anthony Berry,63,Human Resource,105837.94,single,female
Joy Scott,41,Marketing,68659.07,single,male
Brian Griffith,44,Operations,58077.62,married,male
Brandon Smith,46,Marketing,36592.75,single,male
Jessica Peck,20,Operations,63138.36,single,male
Adam Lewis,36,Operations,91863.09,single,male
Katherine Mcdonald,61,Marketing,43331.64,married,female
Meredith Moyer,18,Marketing,77041.69,married,female
Charles Walker,60,Information Technology,96644.95,single,male
Teresa Kim,23,Marketing,115970.57,single,male
Lori Krueger,53,Marketing,49177.3,single,female
Christopher Nelson,62,Marketing,113137.69,single,female
Regina Torres,57,Human Resource,112579.37,single,male
Diana Ford,58,Finance,52512.26,married,male
Mary Robinson,41,Human Resource,86875.96,single,female
Jared Petty,60,Finance,60683.43,married,male
Autumn George,51,Marketing,38146.65,married,male
Thomas Young,37,Finance,67036.64,single,male
Alan Greene,25,Operations,56639.83,single,female
Melvin Dean,58,Operations,105820.36,married,female
Madison Daniels,28,Human Resource,52937.28,single,female
Krista Chang,38,Human Resource,107052.18,married,female
Steven Camacho,41,Finance,97662.73,single,male
Lance Murray,21,Operations,82964.32,married,male
Linda Jenkins,46,Operations,111448.03,married,male
Scott Norton,51,Information Technology,88551.65,single,male
Mark Duffy,55,Marketing,107334.51,married,male
Haley Kennedy,40,Marketing,48017.51,married,male
Ronald Martin,35,Finance,98016.03,single,female
Christian Murphy,21,Marketing,60133.71,married,female
Ryan Barnes,33,Marketing,78349.78,single,female
Mario Acosta,46,Human Resource,67212.47,single,female
Jordan Moore,63,Finance,106699.31,single,male
Levi Wilson,38,Information Technology,31815.32,married,male
Zachary Hobbs,51,Finance,42114.92,married,female
Danielle Cabrera,38,Human Resource,97831.41,single,male
Jerry Kerr,50,Marketing,52084.99,married,female
Elizabeth Sanchez,37,Marketing,69734.19,married,female
James Phelps,28,Finance,115811.31,single,male
Christopher Delgado,60,Human Resource,107273.97,married,male
Theresa Stone,59,Information Technology,79587.94,single,male
Debra Ward,61,Operations,76799.45,married,male
Nancy Ramirez,45,Operations,92253.9,married,male
Chad Tucker,52,Finance,105621.21,married,female
Rhonda Brewer,29,Operations,32945.74,single,female
Rachel Tucker,54,Marketing,84310.2,single,male
Daniel Marks,62,Marketing,104272.19,single,female
Jonathan Keller,36,Human Resource,89808.64,single,male
Michael Peterson,62,Information Technology,37694.11,single,male
Robert Valdez,49,Information Technology,106327.58,single,female
Wendy Gonzalez,21,Human Resource,79361.71,married,male
Hayley Booker MD,62,Marketing,89077.36,married,male
Ian Jensen,37,Finance,34355.7,single,male
Steven Gonzalez,34,Marketing,75385.2,married,male
Melinda Atkinson,21,Human Resource,70585.2,married,female
Vanessa Johnson,64,Marketing,43776.59,married,female
Emma Vargas,33,Operations,113591.58,married,female
Patrick Brown,60,Information Technology,104962.75,single,male
Debra Smith,30,Marketing,104398.61,married,male
Shirley Garcia,42,Marketing,76822.35,single,male
Breanna Ramirez,48,Information Technology,76288.19,single,female
Michael Cuevas,45,Finance,42359.74,single,female
Rebecca Aguilar MD,25,Marketing,32899.26,single,female
Thomas Kennedy,41,Finance,58486.18,married,female
Scott Solomon,42,Marketing,75314.53,single,male
Elizabeth Sosa,36,Human Resource,110457.11,single,male
Eric Ford,59,Human Resource,99459.22,married,female
Justin Carter,54,Marketing,90684.34,married,male
Jonathan Rosales,56,Information Technology,68236.93,single,male
Shirley Harrison,47,Marketing,95097.04,single,female
Jill Stout,21,Human Resource,97991.78,married,male
Sandra Ayala,49,Finance,91038.83,married,female
Kenneth Gomez,52,Finance,109389.2,single,male
Wayne Henderson,56,Human Resource,100629.04,married,female
Michael Singleton,56,Information Technology,58284.26,married,female
Nancy Hernandez,21,Operations,46798.77,married,male
Robert Williams,39,Operations,98784.64,married,female
Jerry James,57,Human Resource,68264.01,married,female
Michael Wilson,29,Marketing,58509.61,single,male
Brianna Smith,56,Marketing,37959.84,single,female
Erik Parker,32,Human Resource,37732.61,single,male
Diana Young,63,Finance,109081.01,single,female
Patrick Miller,36,Marketing,100296.33,married,female
Katie French,38,Marketing,79175.84,single,female
Megan Johnson,26,Information Technology,100700.74,married,male
James Wolfe,61,Information Technology,59665.6,married,male
John Gardner,56,Human Resource,77503.74,single,female
Michelle Diaz,34,Human Resource,69684.8,single,male
Connor Torres,55,Human Resource,67554,married,female
Joseph Bennett,50,Marketing,106088.72,single,male
Rebecca Graham,25,Operations,101122.82,married,male
Katherine Barrera,45,Operations,54670.16,married,female
Thomas Miller,18,Information Technology,57963.51,married,male
Jason Jordan,59,Operations,106782.45,married,male
Kimberly Martin,65,Marketing,75017.97,married,male
Mr. Joseph Hall Jr.,30,Marketing,93293.87,single,female
Jennifer Hamilton,45,Finance,59898.61,single,female
Samuel Welch,39,Operations,88103.84,single,male
Bradley Hodge,19,Marketing,39414.05,single,female
Ricky Cook,28,Operations,42500.22,married,female
Chloe Griffin,25,Marketing,96729.61,married,female
Jeremy King,18,Information Technology,52608.5,single,female
Bryan Wright,32,Marketing,112279.37,married,male
Christopher Gonzalez,55,Information Technology,48591.04,single,male
Robin Jensen,36,Information Technology,51695.06,married,male
Hannah Dalton,62,Operations,65562.02,single,male
Daniel Mitchell,52,Human Resource,92584.75,married,female
Kristen Cook,20,Finance,105030.08,married,male
Andrew Mcintosh,38,Finance,46688.22,married,female
Elaine Dixon,57,Operations,41761.28,single,female
Danielle Jordan,33,Human Resource,101633.71,single,female
Brett Swanson,36,Human Resource,80538.32,married,female
Maria Aguilar,24,Finance,58791.9,single,female
Patrick West,21,Finance,39452.91,married,female
Stephanie Ingram,60,Operations,78690.74,married,male
Shannon Savage,56,Marketing,55038.8,single,female
Lisa Smith,54,Information Technology,76578.03,married,male
Victor Bell MD,52,Finance,109589.47,married,female
Rachael Bird,18,Finance,108867.52,single,male
Candice Hess,35,Marketing,77600.92,married,male
Martin Travis,37,Marketing,96977.58,single,female
Paul Jackson,61,Marketing,73672.36,single,female
Brandon Koch,56,Operations,104403.12,single,male
Matthew Calderon,23,Finance,68786.73,married,female
Connie Mullins,33,Marketing,83900.43,married,male
Lisa Thornton,20,Finance,49747.92,married,male
Madison Chan,47,Operations,41144.4,single,female
Christina Pacheco,55,Information Technology,50074.41,single,female
Robert Anderson,42,Human Resource,79591.59,single,male
Erica Everett,38,Human Resource,45938.48,single,female
Ralph Mora,24,Human Resource,33855.11,married,male
Dylan Costa,45,Information Technology,71174.55,single,female
Danielle Edwards,44,Operations,68811.71,single,male
Tina Davis,52,Marketing,84291.92,married,male
Nicholas Hunt,41,Human Resource,62333.05,single,male
Alex Brooks,28,Information Technology,37203.19,single,female
Joseph Bartlett,33,Information Technology,39362.71,single,female
James Holder,25,Marketing,91316.84,single,female
Allen Rodgers,46,Marketing,52953.41,married,male
Kirk Montgomery,42,Information Technology,81367.6,single,female
Victoria Davies,36,Information Technology,86461.59,single,female
Kristen Santos,33,Finance,109186.74,married,female
Peggy Lopez,37,Finance,110559.71,single,male
Megan Acosta,18,Human Resource,49066.22,married,female
Amber Atkins,63,Operations,106423.76,married,male
Darryl Evans,40,Information Technology,110059.54,married,male
Megan Edwards,29,Human Resource,56414.62,married,male
Victor Roberson,19,Information Technology,94889.78,married,female
Victoria Fry,32,Information Technology,32255.11,single,female
Mrs. Melissa Flowers,27,Human Resource,113521.92,single,male
Stephanie Barrett,48,Human Resource,119302.52,married,male
Gregory Bishop,31,Human Resource,79140.75,married,male
Hunter Fletcher,45,Information Technology,64678.68,married,female
Jonathan Pena,24,Marketing,32370.39,married,female
Richard Estrada,42,Operations,80051.27,married,male
Gregory Williams,22,Human Resource,53756.62,single,female
Gregory Curtis,24,Marketing,53908.26,single,male
Alejandro Gray,26,Information Technology,30509.76,married,female
Leslie Carter,65,Finance,82569.08,married,female
Laura Gilmore,43,Human Resource,58289.27,single,male
Anthony Frazier,58,Human Resource,67123.59,single,female
Clayton Daniels,52,Operations,79108.81,married,female
Joy Duran,55,Information Technology,44622.37,married,male
Katherine Lee,58,Information Technology,45080.01,single,male
Kimberly Velazquez,20,Finance,61959.59,single,female
Monica Hudson,39,Human Resource,104235.97,single,female
Daniel Wood,46,Information Technology,116856.63,married,female
Stephen Stafford,64,Information Technology,54997.06,married,male
Katherine Barnes DVM,36,Finance,40370.27,married,female
Danielle Martin,48,Operations,50112,single,female
Jennifer Harris,52,Operations,32977.04,married,male
Dawn Chandler,45,Information Technology,68705.33,single,female
Christine Smith,51,Information Technology,118058.36,single,male
Robert Dawson,60,Human Resource,45058.4,married,female
Duane Ramsey,20,Information Technology,101874.8,single,female
Kelly Aguilar,41,Human Resource,96379.59,married,male
Amanda Henderson MD,28,Information Technology,97075.25,single,female
Katherine Franklin,37,Information Technology,74979.98,married,male
Benjamin Mcdonald,59,Human Resource,36031.61,married,male
Christopher Miller,45,Human Resource,113500.18,single,male
Jorge Wood,64,Finance,42529.81,married,male
Travis Ryan,33,Human Resource,80828.48,single,male
Trevor Holmes PhD,48,Information Technology,73722.36,married,female
Zachary Hodge,26,Human Resource,55585.74,single,female
Felicia Cook,43,Human Resource,72758.28,married,male
Benjamin Mcclain,36,Marketing,36334.98,single,female
Amber Butler,49,Human Resource,89863.24,married,female
Larry Washington,58,Marketing,53023.76,single,female
Ms. Amanda Delgado,42,Operations,55615.59,single,female
Paula Mccormick,36,Marketing,78940.79,single,male
Michelle Baker,44,Human Resource,107659.45,married,female
David Taylor,39,Finance,42496.02,married,male
Carly Miller,26,Finance,81221.87,married,female
Lauren Harrison,47,Operations,116035.18,single,male
Jose Savage,32,Information Technology,105733.95,married,female
Brandon Morgan,32,Finance,48242.5,married,female
Joseph Green,35,Human Resource,47082.09,married,female
David Carrillo,34,Human Resource,45068.18,married,male
Alison Gibbs,44,Information Technology,105802.5,single,female
Karen Smith,18,Operations,75755.37,married,female
Raymond Hammond,64,Marketing,50233.5,single,female
Katie Hill,28,Operations,37625.81,married,male
Hannah Cummings MD,46,Human Resource,101309.55,married,male
Chad Graham,56,Finance,46898.35,single,female
Jeffrey Serrano,57,Marketing,57092.06,married,male
Jason Fernandez,45,Operations,71344.6,married,male
Bradley Martinez,19,Operations,109502.31,married,male
Stephen Lawson,58,Marketing,109125.88,single,male
Crystal Solis,41,Information Technology,65116.49,married,male
Brian Aguilar,63,Marketing,63187.87,single,male
Carla Cooke,48,Information Technology,77768.53,single,female
Kenneth Burton,18,Information Technology,87070.73,single,male
Andrew Smith,19,Human Resource,103049.26,married,male
Jane Ford,50,Human Resource,100689.03,single,female
Jonathan Adams,36,Operations,59676.77,married,female
Kaitlin Woods,19,Human Resource,119069.63,single,male
Stephen Lee,52,Operations,99731.02,single,female
Monica Hill,28,Finance,58204.64,married,female
Daryl Garcia,40,Information Technology,116858.94,married,female
Hannah Boone,47,Finance,44614.88,single,female
Christopher Smith,25,Operations,111403.32,married,male
Leonard Ferguson,55,Information Technology,32398.4,married,female
Heidi Morris,63,Finance,55688.47,married,female
Erin Wilkinson,56,Marketing,62272.12,married,male
Wayne Perry,38,Finance,73243.95,married,male
Stephanie Rice,62,Finance,78448.22,married,male
Norman Braun,65,Operations,74820.57,married,female
Mark Robinson,37,Human Resource,66891.04,married,male
Linda Parker,55,Operations,40348.34,married,male
Lisa Anderson,18,Finance,89324.31,single,female
Jessica Roberts DVM,55,Human Resource,36638.26,married,male
Edward Kaufman,47,Operations,59732.01,single,male
Cameron Thompson,61,Marketing,101797.26,married,female
Jeffrey Williams,27,Operations,43514.54,single,female
Curtis Lowe,57,Human Resource,66412.26,single,male
Kerri Lewis,34,Finance,93293.65,single,female
Cheryl Morris,60,Information Technology,113648.72,married,female
Ruth Roach,50,Information Technology,117892.28,married,female
Christopher Smith,18,Operations,79730.76,married,female
Heather Thompson,56,Marketing,61968.12,married,male
Andrew Riley,36,Marketing,101300.89,single,male
James Love,22,Finance,98650.48,married,female
Carla Smith,39,Operations,86913.29,single,male
Stacie Henson,32,Finance,100213.43,single,male
Alicia Cole,58,Finance,114058.92,single,female
Christopher Graves,56,Marketing,80345.69,married,female
Megan Strickland,58,Finance,38486.3,married,male
Robert Daniels,53,Finance,49809.01,single,female
Anthony Brady,41,Human Resource,54110.58,married,female
Jay Hendricks,44,Information Technology,81758.4,single,male
Sarah Mendoza,51,Information Technology,102821.2,married,male
Edward Mckee,57,Finance,94119.24,married,male
Zachary Velazquez,38,Finance,68376.73,married,male
Brian King,34,Marketing,42278.41,single,female
Francisco Hunter,40,Human Resource,47674.29,married,female
Gregory Ross,49,Information Technology,118752.2,married,male
Sandra Flores,36,Human Resource,53016.45,married,male
Samantha Greer,37,Information Technology,30960.65,single,female
Edward Snyder,22,Information Technology,114448.26,single,male
Olivia Bailey,44,Information Technology,57788.53,single,male
Elijah Brown,64,Finance,86703.14,single,male
Jimmy Church,42,Information Technology,116516.97,married,male
Steven Torres,58,Operations,37202.61,single,female
Ricardo Ortiz,18,Finance,42391.14,married,female
Taylor Ballard,65,Marketing,47466.94,single,female
Alexandra Morgan,24,Marketing,58983.42,single,male
Kaitlin George,60,Operations,90464.53,married,male
Diana Lutz,52,Marketing,35076.16,single,male
Ronald Parrish,43,Operations,31102.61,single,female
Kristin Hodges,56,Finance,49052.62,married,male
Brandon Anderson,26,Finance,61731.51,married,male
Rebecca Ray,39,Operations,31704.54,single,female
Mark Marshall,20,Finance,70955.01,single,female
Jack Trevino,27,Operations,61946.78,single,female
Brandon Hayes,48,Marketing,58269.32,married,male
Paige Bailey,44,Finance,105472.03,married,male
Christina Pratt,32,Marketing,95127.8,married,female
Randall Brown,49,Information Technology,85947.27,single,male
Cynthia Chapman,19,Finance,81379.68,married,male
Morgan Garcia,39,Human Resource,111619.18,single,male
Danielle Campos,56,Finance,103928.42,single,male
Jennifer Wilson,35,Finance,30612.17,single,female
Debbie Harvey,18,Human Resource,38160.1,married,male
Shannon Wilson,33,Marketing,88189.12,married,male
Brian Barton,33,Information Technology,48607.88,single,female
Holly Kerr,59,Human Resource,60062.55,single,female
Hannah Kelly,48,Human Resource,89864.11,married,female
Steven Anderson,51,Finance,55317.68,married,male
James Nolan,60,Information Technology,34303.54,single,male
William Griffith,35,Finance,114307.77,married,female
Julian Sims,38,Human Resource,78950.39,single,male
Stephen Irwin,59,Operations,114546.69,married,male
Jennifer Ferguson,19,Human Resource,67393.99,single,male
Alec Wells,29,Marketing,35637.82,married,male
Christopher Garrett,24,Finance,46167.84,married,male
Donna Ramos,63,Finance,107433.83,married,male
Lauren May,64,Finance,116057.24,married,female
Eric Thomas,28,Marketing,32290.61,single,male
Adam Neal,55,Marketing,61844.08,married,male
Colin Mendoza,63,Information Technology,98679.61,single,male
Jason Moore,59,Human Resource,93115.11,single,female
Diane Wilson,39,Operations,69808.12,single,female
David Mclaughlin,19,Finance,118991.9,single,male
Matthew Turner,65,Finance,109228.28,single,male
Gina Acosta,26,Marketing,70319.77,single,male
Xavier Fletcher,65,Operations,66593.79,single,female
Christopher Curry,29,Operations,79655.18,married,male
Rebecca Hendrix,36,Finance,100483.34,single,male
Scott Johnson,25,Marketing,30660.87,married,female
Glen Johnson,33,Information Technology,84222.04,single,female
Christine Jones,43,Operations,33626.41,single,female
Hannah Ruiz,44,Information Technology,109210.06,single,female
Lisa Perez,42,Operations,67832.1,single,female
Jennifer Green,19,Finance,110404.33,single,female
Kaylee Bowers,63,Information Technology,56175.91,single,male
Adam Burns,23,Human Resource,64251.62,single,male
Scott Garcia,33,Finance,59894.13,married,female
Lisa Murphy,25,Information Technology,48119.03,single,male
Anne Cortez,53,Finance,106077.73,married,male
Chad Kim,37,Information Technology,117105.05,single,female
Lauren Gonzalez,53,Marketing,110175.84,single,male
Michelle Joseph MD,20,Finance,74970.82,single,male
Richard Graham,50,Finance,47773.6,single,female
Adam Johnston,55,Marketing,57455.46,single,female
Jordan Jones,60,Marketing,42699.35,married,male
Michael Fernandez,40,Human Resource,43766.55,single,male
Erik Nicholson,25,Finance,37689.85,single,female
Christine Baker MD,24,Finance,117277.3,single,male
Sherri Warren,64,Finance,98382.21,single,male
Daniel Taylor,25,Marketing,109744.7,single,male
Steven Foster,22,Human Resource,37848.93,single,male
Aaron Flores,59,Marketing,110600.09,married,male
Wayne Juarez,61,Information Technology,44473.56,single,female
Tiffany Moore,37,Operations,48096.49,married,female
Michelle Glover,29,Information Technology,33950.48,married,female
Pamela Jones MD,63,Marketing,44061.18,married,male
Diana Barton,23,Finance,48539.05,single,male
Stacy Price,52,Operations,91072.09,single,female
Angela Jordan,63,Information Technology,90812.2,single,female
Kellie Kirk,43,Marketing,92605.15,married,female
James Melton,33,Operations,46797.26,single,female
Clayton Walters,52,Marketing,72552.18,married,male
Katherine Chavez,32,Human Resource,85739.63,single,female
Edward Woods,63,Information Technology,31853.3,married,male
Jose Martin,64,Finance,34483.59,single,male
Cassandra Reid,45,Marketing,32123.98,single,male
Michael Lucero,61,Operations,51370.07,single,male
Wendy Young,28,Finance,107747.42,single,male
Melissa Anderson,22,Operations,78911.65,married,female
Gregory Spencer,53,Finance,39175.16,married,male
Mary Mullins,48,Human Resource,59286.07,single,female
Julie Holder,38,Human Resource,38349.81,single,female
Dean Sweeney,53,Information Technology,89077.16,single,female
Jonathan Yang,48,Finance,31846.29,single,female
Anne Brown,57,Marketing,43925.79,single,male
Michael Thomas,18,Human Resource,33901.48,married,female
Jonathan Johnson,52,Information Technology,35136.57,married,female
Matthew Greene,47,Operations,38195.36,single,female
Charles Parks PhD,43,Human Resource,92505.53,married,male
Michael Rogers,58,Information Technology,85988.97,married,male
Julie Garcia,64,Marketing,73064.76,single,female
Ryan Ross,65,Information Technology,109451.12,single,male
Alicia Brown,25,Marketing,76365.57,single,female
Molly Lewis,49,Marketing,114195.53,married,female
Paula Butler,35,Information Technology,65241.84,single,female
Ruth Price,52,Finance,108253.89,married,female
Kelly Fry,30,Information Technology,35119.36,married,male
Matthew Krueger,43,Marketing,77939.61,married,male
